"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",8.2961911136097e-05,-1.10269277901146e-05,-1.3458660493214e-06,-1.95459925697031e-06,6.73048277467768e-06,7.93203048386417e-06,-3.97432526644428e-06,3.12493459997825e-06,2.7452309895414e-06,9.89666012913995e-06,-1.55355374155641e-05,2.2982142021446e-06,5.16581028137135e-06,3.75523608013074e-06,7.73147658662578e-06,-1.32439105541313e-05,1.22247250499655e-06,-1.73920318230582e-06,-1.49731415815751e-06,-1.35931859661972e-06,2.54794219060784e-06,7.02121181315902e-06,1.10773021909868e-06,-4.60097199371474e-06,7.95076909152646e-06,-4.6320326042273e-06,-3.56849439257633e-06,-4.54777013876125e-06,-7.05492099624985e-06,1.75319905234573e-05,-3.23128932302449e-06,-1.8267498667552e-06,1.1761866663325e-06,1.70343781322457e-06,-9.6315080267534e-06,-2.19559480752328e-05,-1.86756586008325e-06,4.95458747147069e-06,-1.58872084117216e-07,3.52202280845783e-06,3.67212666524183e-06,1.1486269927073e-06,-4.67344939979224e-07,-2.39179427544455e-06,-1.98712206883076e-06,-6.69925480882739e-07,4.35343811203619e-06,2.34088257842348e-06,4.9895236635471e-06,1.66317605909613e-06,-7.71390280722483e-06,5.19256343131609e-06,-1.19118408634719e-06,-3.92827624354603e-06,-1.064295799694e-05,-9.5080865130501e-06,-1.00276136169413e-06,2.74641503532067e-07,6.74236720567737e-06,2.09092562129646e-06,1.64766836238249e-05,-2.79883042933577e-06,4.23501667186231e-06,-3.59765212200758e-06,-1.00722713912922e-06,3.43561625652744e-06,-3.81215746168609e-06,-5.66374422428767e-06,-2.17386786852949e-06,-5.92498861742199e-08,6.14191401579524e-06,-3.91990895441589e-06,-1.21280614955064e-06,8.94114326548335e-06,5.20101713186795e-06,9.96710367270148e-07,-1.93752525986946e-06,1.42320414271815e-05,-6.12959129892132e-08,-1.39858764942226e-06,-1.13430290079554e-05,-3.56554269382187e-06,-3.96509534364053e-06,3.45397542826373e-06,-1.71752347768188e-06,-1.23893523476483e-05,7.22145716844583e-06,7.95418014220585e-06,1.73198180583307e-06,9.67461432115599e-09,6.16498893883331e-06,-1.33803726806521e-05,-1.79220703470007e-07,8.53861044076906e-07,-5.47841689516319e-06,-1.85021260797736e-06,4.50860516952799e-06,-3.01378576280894e-06,-6.08742495991806e-06,-1.48362503231321e-05
"2",-1.10269277901146e-05,5.64672068785495e-05,2.08483831588429e-06,9.09329586562951e-06,1.09994748160256e-06,-1.76501906964034e-05,2.5516983167005e-06,-4.16250498647956e-06,-1.72494894935699e-06,-1.61552844818559e-06,1.21163996917535e-05,-7.81191519114433e-07,-3.90451124626777e-06,-3.51567766128454e-07,1.5496919138228e-06,7.2918934469368e-06,-5.08514721056491e-06,5.77773735008918e-06,-2.18835317203476e-06,5.56349716515274e-06,2.12797071041789e-06,-1.80689628897779e-05,-3.40819515321808e-06,8.84952093822647e-07,-8.32019332562952e-07,-3.26881733844518e-06,5.28253863196001e-06,7.30251851926124e-06,9.64832691227284e-06,-1.32570270786366e-05,-1.61831489816262e-07,5.68526076603507e-06,4.97813925278179e-06,-5.29778301997852e-06,-5.14760818970567e-07,4.24348390539332e-06,2.21537036643243e-06,2.74934703435505e-06,-1.9675794725228e-06,-2.10691406550886e-06,-3.12520749774228e-06,1.63184798480671e-06,-5.49085504756351e-07,-1.31152643545558e-06,-1.00160931499721e-06,3.9681640196306e-06,2.12258356089285e-07,-4.94389558783834e-06,3.08149044621917e-06,-3.0537010580968e-06,-6.03559766945569e-09,-4.17114595340948e-06,2.53620172947506e-06,1.63702540044355e-06,-5.03701553166969e-06,-4.3063311927816e-06,1.82853386461763e-06,-2.2469306548999e-06,-7.00229148530528e-06,-1.24146373580411e-06,-9.47755739294364e-06,-4.25428963566239e-07,-9.2856077715768e-06,3.86493230024305e-06,2.28449537069778e-06,-2.02288712603355e-06,1.55000584296832e-06,4.20093812872406e-06,-7.16967220283157e-08,-2.45321256434048e-06,-2.23343530775136e-06,4.42011502651737e-06,1.83624986569185e-07,-5.98906347148089e-07,-4.56178414472883e-06,-7.39586391735211e-06,-5.46165128764577e-06,-9.99133994165242e-06,3.13583887909778e-06,-2.71771390017593e-06,-9.83419647700316e-07,-9.19738073390731e-07,2.26245806909855e-06,-3.64781657515859e-06,8.79052770687492e-06,-8.15807554367842e-06,3.89541228709871e-06,-4.30243402658106e-07,2.58907074772249e-06,6.81323506097538e-06,-1.24703047052397e-06,-6.18926467155151e-06,1.81615080956832e-08,1.59630027677593e-06,9.04072682616021e-06,3.64714898042874e-06,-1.54637788694495e-05,-5.35312477422237e-07,-3.28779231685983e-07,-1.02223166604867e-05
"3",-1.3458660493214e-06,2.08483831588429e-06,0.000165443796533523,8.05515607838089e-06,-1.12649199713851e-05,3.80376954569531e-05,1.66410564666857e-05,1.5482093859745e-05,8.75594896785576e-06,-2.14426715096196e-06,4.06233825479105e-05,5.87957327433335e-06,1.88085760315027e-05,7.0210408754591e-06,3.44874728616659e-05,-5.08795273854999e-06,2.65734310213245e-05,-2.80854597131464e-06,1.0376207847225e-05,-5.27083740734837e-06,1.80643998284696e-05,2.97895120141532e-06,-4.99397070005535e-06,2.66344782606836e-05,9.64918576370176e-06,2.42101883115297e-05,3.13590449255904e-07,1.29421310715724e-05,3.33259120468723e-05,1.33578408906554e-05,1.61140378087608e-05,3.09429386367587e-06,1.5086716386494e-05,1.42145509876392e-05,2.27112174748982e-05,-7.6618548986989e-06,-2.21797135576716e-06,4.95874505875643e-06,-6.9227734053382e-06,-4.94304630424285e-06,8.037541796946e-06,2.75008795494533e-06,-1.62841620554071e-06,1.08139864337823e-05,2.70476383739563e-06,6.22859496004903e-06,-1.15195986892908e-06,1.72454511222594e-05,5.98551300627727e-06,3.44682476757877e-06,1.53281213609085e-05,3.46508489717046e-06,3.44937690670706e-06,1.54087163201302e-06,1.48858889843284e-05,2.38495995916556e-05,4.05298197231153e-06,1.40232722083568e-05,5.14430674288667e-06,1.82238498122031e-05,1.5869346179477e-05,9.07324761348146e-06,7.94921202053391e-06,-8.35047360571851e-06,-3.21872502636079e-06,1.58804754837091e-06,1.27464140360531e-05,2.70398572671082e-05,3.09923802959759e-06,6.72984327862418e-06,-2.13325121344417e-06,-3.4076113726709e-06,1.26273483733857e-05,1.3998704545106e-05,7.3307521396924e-06,-2.91852149612315e-06,5.59966953019755e-06,3.50441003207501e-05,1.01253623578211e-05,9.74556422688543e-06,1.73993941439789e-05,7.47777107514e-07,5.6136796127994e-05,1.30908337164557e-05,-6.83751759804287e-06,3.14758928306628e-05,1.69160539739008e-05,1.33742769843953e-05,1.45184502654341e-05,-4.88577413363143e-06,4.07690493781403e-07,2.06247125638098e-05,2.04354231729401e-05,-4.73036400965233e-06,9.50008208648422e-06,-2.96138338236295e-06,2.39867105879337e-05,6.99548559478076e-06,1.44634609108131e-06,2.93163840734617e-05
"4",-1.95459925697031e-06,9.09329586562951e-06,8.05515607838089e-06,9.98822541141085e-05,-3.52121488964216e-06,-1.78439639590463e-05,2.08961615143434e-06,-1.1479290665209e-05,-3.40426988515096e-06,-7.51903045631411e-07,3.46401023891141e-07,-6.89752927760476e-07,-2.46304821096152e-06,8.73799999805542e-06,-8.85216523360263e-06,5.92464319500677e-06,-1.74240808552362e-07,4.54286116151292e-06,9.89037773682648e-07,4.09118814239126e-06,1.11582501431368e-05,-2.67006578023916e-05,-1.82697587761616e-06,4.39986326584851e-06,-1.62098199986463e-05,-3.75269997840509e-06,7.02383544757776e-06,8.73932797861617e-05,-1.35478893326634e-06,-1.18176968743966e-06,1.80340454029772e-07,6.47443451543675e-06,-3.26187368944034e-07,-3.6286692474048e-06,5.99620482479967e-06,4.90248455202294e-06,2.12880598477726e-08,1.72268040291438e-06,-5.72161427332279e-06,1.11680838694777e-06,2.94350755420313e-08,1.5045079914491e-06,-7.2676240922018e-07,-7.22235005048735e-07,3.75657656696594e-06,-7.93626642219026e-06,4.06550182900573e-06,-1.52121196840021e-05,5.58899243591841e-07,-6.45808981847145e-06,-5.31799836449164e-06,1.07924498349656e-05,1.28427944675104e-06,3.14142711504815e-06,-2.81298199158421e-06,1.35729594140639e-05,3.2218409247626e-06,-2.15855535915714e-06,-5.64498136976939e-06,-2.30127700455047e-06,1.22689396497729e-05,4.11451725321421e-06,-1.51980960694325e-05,6.99504303664799e-06,4.96917409922993e-07,-5.2854799618834e-06,5.97713062236749e-06,2.42085866446426e-06,3.18271326952193e-06,2.81065008812114e-06,-1.4436741096117e-05,2.6493945555834e-07,6.01846586247232e-06,-2.94393753000279e-06,7.54910496950139e-06,1.49763911854848e-06,-2.095210988106e-07,-1.64974755792863e-05,9.34773009979227e-07,-3.36267839395815e-06,-7.00628307023135e-07,3.26940522468316e-06,9.81481957459618e-06,-5.60712638717338e-06,6.56217430485692e-06,-4.32054234583262e-06,5.94887997522005e-07,7.24675880389955e-06,2.15185051530971e-06,2.56267581211105e-05,1.5640700407242e-07,-2.50178595406113e-06,-4.47678892825343e-06,-4.50920849423458e-06,1.36535632828624e-05,7.00896895911039e-06,-1.45410145782723e-06,-3.30235882426869e-06,-3.25681966685379e-06,-3.85274566634981e-06
"5",6.73048277467768e-06,1.09994748160256e-06,-1.12649199713851e-05,-3.52121488964216e-06,0.000131012593595066,-1.55871830723231e-05,-4.06728193459222e-06,-1.15026276005295e-06,-2.86012728006122e-06,8.46492097438596e-06,-9.01578266879368e-06,2.58119835540436e-06,-3.3054596268903e-06,-3.35480824818828e-06,-2.08681251843241e-05,-2.12052203093614e-06,1.06548686139792e-06,-7.25576768763251e-06,-1.80214604408598e-06,-1.98759855544282e-06,-2.92676301788103e-06,-1.47246007639421e-05,-6.78208950178342e-06,-2.97127741827582e-06,-1.61369124811341e-05,3.2044463251836e-06,-1.02688606095946e-06,1.59858860533759e-06,-4.22814370517214e-06,3.10174539045622e-06,4.24885189025102e-06,1.07544712833257e-07,-2.27743750290009e-06,2.37799343697635e-06,1.83326961665859e-06,4.37356343004912e-06,-5.49901062061408e-07,1.01070117595933e-05,1.24877325537357e-05,-1.01945184718466e-07,6.99704876898293e-07,5.83221184564391e-07,-1.77154921304298e-06,7.10981040539708e-07,1.05059768808107e-06,6.32107017172314e-06,3.9891783004307e-06,-1.28541487359501e-06,-3.40530829241707e-06,-4.0813459204024e-06,3.72802088400721e-06,2.21524755593643e-06,5.87470517812573e-07,-3.51057224919584e-06,6.91877286116336e-07,-3.53363485250021e-06,-3.35059126232682e-07,-1.19757297953357e-06,-1.90358309563412e-05,-4.68576376061879e-06,2.65619560501711e-05,8.37181739358756e-07,9.49797389687403e-06,1.30932276448108e-06,-3.98491491701216e-07,5.37968470013889e-06,3.32910512755577e-06,-3.77534081530268e-06,1.1069818228067e-07,5.48646248163775e-06,1.50765764053144e-05,2.11985728206281e-06,-6.57133541563639e-07,5.87193861056801e-06,4.77878186859774e-06,-3.98765398731283e-06,-1.57306360980351e-05,-7.70772244981765e-06,4.69766697588998e-06,5.43350685148383e-06,-8.60978589325946e-06,-2.48310226439881e-06,2.13310760632805e-06,1.9097900733702e-06,3.70688628531035e-06,-3.8134280496257e-06,-2.86501879380347e-06,1.00968500631832e-05,3.03831366574593e-06,2.14149484896304e-06,9.21402625723496e-07,-1.077044236998e-06,-1.63078302725708e-06,-6.55170700103832e-07,-1.86132508097148e-05,2.51457602325989e-06,-2.54645773594078e-06,-5.11378142257126e-07,-6.62452511588232e-07,4.22505320896037e-06
"6",7.93203048386417e-06,-1.76501906964034e-05,3.80376954569531e-05,-1.78439639590463e-05,-1.55871830723231e-05,0.000987345631408946,4.07730579086196e-06,7.22266265913109e-05,-1.57278762926189e-05,7.06811339867978e-05,4.66950889592432e-05,-2.47371162147398e-06,3.1784989217047e-05,-5.68351696390431e-06,0.000181553212390732,-9.56812512992797e-06,4.30712074501203e-05,-6.81117668986736e-06,2.14645390446386e-05,-1.49958446005584e-05,-6.31883004813911e-06,4.86099657940693e-05,-4.11934906377665e-06,6.24353852540575e-06,5.03583542693715e-05,5.31509866050252e-05,-9.13506976627021e-06,-1.76722226242346e-05,2.10480181817238e-05,4.96872892315305e-05,8.14693074642503e-06,-2.38781711246136e-06,4.00128026831873e-05,2.05753423322695e-05,-4.36579949269384e-06,-1.61888787563328e-05,-7.52430579228407e-06,-1.56459913313748e-05,9.19112434089994e-06,-6.96582298305749e-06,9.40913633622168e-06,-1.10658308401964e-06,-6.30096369145366e-06,4.65590072123035e-05,-6.47977072010151e-06,-1.63130761116165e-05,3.62334584033676e-05,0.000149459089008834,1.88148303122494e-05,2.80155263197834e-05,2.33345660643513e-05,2.4917870405571e-05,1.65303960692173e-05,-1.66080016329776e-05,2.14927655594217e-05,1.62713245366879e-05,-1.05840417938515e-05,6.85235368137592e-06,8.35571970509488e-06,2.01767594966506e-05,5.24312120876747e-05,1.7728440422092e-06,3.27264876235229e-05,-5.57662767581586e-06,-9.23040293408773e-06,3.17580235964405e-05,4.98130687164626e-05,3.91720915151435e-06,6.78950628148801e-06,-9.44775048666475e-06,1.0931585058119e-05,-8.29342248421976e-06,1.20172466621674e-05,2.880363700187e-05,1.39087668961609e-05,2.5485876470526e-06,6.03190097304751e-06,0.000195164716659324,1.53967391219597e-05,4.88790690870073e-05,2.19010504747597e-05,-9.15721747513697e-06,3.3805482921829e-05,3.41093212750804e-05,-6.79361092264376e-06,7.8680677711889e-05,4.70689602546003e-05,-2.80047391172771e-05,1.85176307266817e-06,-6.32011007952399e-06,2.06461723805884e-05,4.9717004639728e-05,1.48143248928916e-05,2.11622283824469e-05,1.83508506751332e-05,-1.21246014367651e-05,6.26450197003942e-05,1.94298443850899e-05,9.97347567144058e-06,4.38155848256599e-05
"7",-3.97432526644428e-06,2.5516983167005e-06,1.66410564666857e-05,2.08961615143433e-06,-4.06728193459222e-06,4.07730579086196e-06,6.67246979942003e-05,-5.7282398925111e-08,-2.49361843333262e-06,-1.17791978219526e-05,3.44336385356216e-05,1.28583179894737e-06,-2.45242438488606e-06,4.90495895903594e-06,2.71550125626461e-06,-7.43790452473576e-08,-2.03426295731879e-07,5.33249030848397e-06,5.24908906332642e-06,-1.65066275183139e-07,3.89352659993852e-06,-2.16687923522118e-06,1.27553935982168e-07,7.4369895953439e-06,-7.86689543407604e-06,5.07782916791177e-06,-1.92318420791038e-06,2.9839186767637e-06,3.5556866141482e-05,7.62025222215271e-06,2.64009668657945e-06,7.13888397861337e-07,1.76114014869076e-06,7.1493556523211e-08,7.27047648531053e-06,-8.46757265258288e-07,1.42688651780054e-07,6.44772861655927e-06,-3.08807773350176e-06,-4.92854613208877e-06,2.38796965904594e-07,2.92818931016879e-07,2.04607197622911e-07,1.44644967925585e-06,3.85368453159738e-06,-1.0084235966688e-06,1.72011728943206e-06,4.18959677258723e-07,9.11485805115849e-07,1.41678263878997e-06,5.24672283716795e-07,-9.12173462448239e-07,-2.94818875684922e-07,1.13402643372614e-06,4.42002307217028e-06,3.83560800787475e-06,1.7370308752565e-06,3.84131347578041e-06,3.94510045832444e-07,2.82182822984422e-05,7.63947210706806e-06,6.71401306550333e-06,5.1419183562083e-06,-1.66304686584557e-06,-1.67395607284295e-07,-2.34035878528997e-06,-6.09467364594704e-06,4.53899006580275e-06,-6.51097844418695e-06,2.26118260245344e-06,-2.54189294159514e-06,1.87782918193092e-06,3.41750217905391e-06,2.93827846236395e-06,3.41594037192159e-06,-1.5317805894464e-06,4.60024965775803e-08,7.02498615181446e-06,9.26969176768028e-07,2.96460113332757e-06,5.13209095061617e-06,-4.97513986817468e-07,6.9544324369139e-06,-3.47738234445684e-06,-1.44741819747432e-06,3.94746497607595e-06,3.38106753760471e-06,7.35108877373081e-06,2.53305260921668e-06,-3.24756923615861e-06,-2.15692626682581e-06,-4.51168345262326e-07,7.66833458157831e-06,-4.07003615974102e-06,1.02291952239227e-05,-3.72176811429636e-06,5.4599206392702e-06,-2.03615697475113e-06,7.99330993401254e-07,3.2966681276257e-06
"8",3.12493459997825e-06,-4.16250498647957e-06,1.5482093859745e-05,-1.14792906652091e-05,-1.15026276005295e-06,7.22266265913109e-05,-5.7282398925111e-08,0.000153992931649726,-2.37011494268382e-06,4.91759777350479e-06,1.79743043447276e-06,-4.80192997920574e-06,1.32899693802125e-05,-1.26015354863346e-05,4.1903542125054e-05,-6.31751120600931e-06,2.62998055293922e-05,-8.00479587180281e-07,4.83752869951346e-06,-3.95107201960757e-06,1.22133819471584e-06,6.18054507412254e-06,-5.04048259524792e-06,3.93106521404229e-06,2.01739681862521e-05,7.27554645358008e-06,-4.27241384852531e-06,-1.31991817023247e-05,2.90643703450917e-06,5.50480828978211e-06,7.46241386997277e-06,-7.10681649726378e-06,2.16454294087049e-05,2.07301428078567e-06,8.28462304966501e-06,-1.01703157835747e-05,-9.95339191082962e-08,-2.09878871534543e-06,1.44933448744177e-06,2.43013880721926e-06,-6.55689921105504e-07,2.5792172181381e-07,1.19305666825244e-06,5.00450147467222e-07,6.82821491725657e-06,-2.67557730525588e-06,3.94936041992577e-06,1.55248856144195e-05,1.29304646552149e-06,-7.40989413230716e-07,1.1977293432522e-05,5.18264570661929e-06,2.03750285612923e-06,-7.48358492848303e-06,7.52874350532597e-06,3.69452734738845e-06,-2.87109937497859e-06,-4.47224367168227e-07,2.70482384457531e-06,2.1724666385665e-06,2.88076633581563e-05,1.12462242361049e-05,3.74099152418561e-05,-1.1042799821467e-05,1.65485374827034e-06,7.7927447446691e-05,6.07174220916294e-06,4.12958522048115e-06,-3.27314062190674e-06,-1.22901239685117e-06,3.78576415613923e-05,-2.44896053344645e-06,-2.85724540004487e-06,2.76534395851374e-05,6.82357321240707e-06,2.90702895825257e-06,-2.73281135542484e-06,1.77893448745734e-05,4.2918004093369e-05,9.48913985073443e-06,5.14206522134664e-06,-1.74085923752893e-06,1.74774269576354e-05,0.000103999766151002,-4.15861184015473e-06,2.3525940339256e-05,4.42344790074768e-05,5.50918974182661e-06,5.83006827973371e-06,-3.38107257325878e-07,7.70393641315032e-06,2.03594224534909e-05,-1.06410973383218e-06,-6.37043544440843e-07,6.60858067297142e-06,-8.45608688989296e-07,1.02274275019382e-05,3.42972496260172e-06,4.65512894605861e-06,1.27847602305885e-05
"9",2.7452309895414e-06,-1.72494894935699e-06,8.75594896785576e-06,-3.40426988515096e-06,-2.86012728006122e-06,-1.57278762926189e-05,-2.49361843333262e-06,-2.37011494268382e-06,0.0001423753121339,-1.7411116485443e-06,-1.1756667281118e-05,5.49430434612847e-06,8.66970163572375e-06,9.59607360033087e-06,3.23404110619734e-06,5.13641906154268e-06,-3.91311821478299e-06,-9.10467649954173e-07,5.45898170364953e-06,-5.59510843745008e-06,-8.18175794320006e-07,3.76959855957587e-05,2.14128725458438e-06,-7.82198006486077e-07,-2.13556786350486e-06,2.3829266703288e-07,-2.87350770361477e-07,-7.44186099349518e-06,-9.83804221899387e-06,-5.0951356299226e-06,1.09386763917758e-07,2.23122097192773e-06,-1.01817965005594e-05,5.61493154001894e-06,7.27467982343914e-06,-1.851044817646e-06,2.95545442442505e-06,-9.68027567729703e-06,1.56079328333223e-05,-7.31688258076424e-06,1.47813357337596e-05,8.09148479031974e-07,1.7356460362192e-06,-3.35458280867591e-07,3.03162609528749e-06,4.30735894734438e-06,-9.32094849637549e-06,7.94308110170514e-06,1.56197493990755e-08,1.74456730808161e-06,-8.26759432860692e-06,3.63043975103152e-07,4.79172207887616e-06,2.1667902644531e-07,4.23822180081948e-07,4.45612907921811e-07,4.0088971229246e-07,-2.99172719215124e-07,-9.15075091860408e-06,-9.32427921866371e-07,-1.26548653023277e-05,-1.48287605490995e-06,-8.91162884079546e-06,-6.48422319362294e-07,1.47333336080433e-06,-1.66384986341624e-06,-7.89393003541683e-06,6.22960107613704e-06,7.14319994461613e-06,9.48504160393651e-07,-1.63164533103506e-08,4.84139616616724e-07,-6.87420540933508e-06,-5.63499402672731e-06,5.94915044158986e-06,-7.45089558542197e-06,1.1322975499315e-06,1.03502498952725e-05,-1.60885553693635e-06,5.65421544717458e-06,1.15633264825863e-06,5.54270539557104e-06,1.23212660310929e-06,-2.68718101197745e-06,-2.85005939051138e-06,-2.19201746084032e-06,5.71097922862894e-06,-6.69990915771567e-06,6.61747476556674e-06,-6.69980626694973e-06,-5.39907643418899e-06,2.23496995122694e-06,8.06480519522174e-06,-2.67397731702796e-06,4.64265256998289e-06,-4.06252617606128e-06,5.98954157018487e-06,-2.71967463230664e-07,3.54347991305576e-06,-6.68716330019732e-07
"10",9.89666012913995e-06,-1.61552844818559e-06,-2.14426715096196e-06,-7.51903045631411e-07,8.46492097438596e-06,7.06811339867978e-05,-1.17791978219526e-05,4.91759777350479e-06,-1.7411116485443e-06,0.000261643470407108,2.3727782110583e-06,2.51265022010692e-06,-6.19864535796559e-06,-3.09103844693723e-06,4.07774471271325e-05,-9.73134630698702e-07,-7.19013212536037e-07,-1.67876324233372e-06,1.29669942730711e-05,-1.37416462530617e-06,-1.31730680132455e-06,-4.83787128872597e-06,5.14166109683462e-07,-8.03477762998333e-07,4.07114341076259e-06,4.29386860761835e-06,-9.11960756747577e-07,2.77930093909411e-06,-7.49903090926137e-06,1.12383930934895e-05,4.03917144074398e-06,-9.03143332749952e-07,-8.74338910908694e-06,1.29668760552309e-05,-3.50866540894107e-06,-7.42311242100875e-07,2.49487908649614e-06,-4.54497479565192e-06,-1.53805522471964e-05,-4.00717676725975e-06,5.50373190743927e-06,2.20147332484176e-06,-3.0351929166563e-06,-9.64193086800113e-06,-3.84282511505805e-06,3.84725220969473e-06,4.34221010811258e-06,5.08530760466362e-05,8.57285187979519e-06,3.63680128866917e-06,7.40086461798615e-06,-2.58731147074735e-06,5.23453628627217e-06,-5.48378890632966e-06,2.97915972516659e-06,-1.25451293302402e-05,-1.40070907264537e-06,3.66681743056969e-06,-3.05722943502303e-06,-5.32711944391063e-06,-4.50218698178719e-06,1.27343860449132e-06,3.22871348545265e-06,7.46405202994908e-06,-3.1707480020978e-06,3.51390589710184e-06,-7.17076559261064e-06,-5.42776377810114e-06,1.22548513213002e-05,2.07341746046222e-06,9.7884746145595e-06,2.08777939068862e-06,-3.2249756677558e-06,1.97492573026262e-07,-6.02693418806815e-06,1.21381741083525e-05,-3.39276449434836e-06,3.00445548226509e-05,1.34709538846955e-05,5.95724525582391e-06,1.7879383599416e-06,6.76098570677703e-06,2.71048073402366e-06,4.33901067935424e-06,4.9464754547083e-06,1.16275712471123e-06,-1.94487847323885e-06,-2.58588815840081e-05,-9.79552335386151e-06,3.85683175554603e-06,5.67663739930524e-06,-2.83309073708501e-06,-9.67967841835865e-06,6.41315560785053e-06,-1.58756920275038e-05,-1.681004822223e-06,-1.42832662303573e-06,1.9591929293844e-05,4.16045388577018e-06,-1.2186018257244e-05
