"","x"
"[AAPL].mu",0.0091161646240886
"[AAPL].ar1",0.997798159827111
"[AAPL].omega",1.54748062264232e-05
"[AAPL].alpha1",0.152144333881588
"[AAPL].beta1",0.681878819325738
"[ACN].mu",-0.00786930902569065
"[ACN].ar1",0.999999996471099
"[ACN].omega",2.67622336086701e-05
"[ACN].alpha1",0.130322027088357
"[ACN].beta1",0.483645488862884
"[AMG].mu",0.00676167168214704
"[AMG].ar1",1.00000000894048
"[AMG].omega",5.89351082396168e-05
"[AMG].alpha1",0.176161667131937
"[AMG].beta1",0.404191383800935
"[AMT].mu",-0.000862770457557568
"[AMT].ar1",1.00000000229377
"[AMT].omega",2.511845752467e-05
"[AMT].alpha1",0.108741241194785
"[AMT].beta1",0.625476417211578
"[ANTM].mu",0.00306621123639501
"[ANTM].ar1",1.00000000394241
"[ANTM].omega",0.000122851377758035
"[ANTM].alpha1",0.213443748948478
"[ANTM].beta1",6.19470442549342e-07
"[BBBY].mu",0.0154857353103343
"[BBBY].ar1",1.00000000945121
"[BBBY].omega",1.56221308999743e-05
"[BBBY].alpha1",0.150878215271961
"[BBBY].beta1",0.848121423294332
"[BK].mu",-0.00352051515516584
"[BK].ar1",0.995727335430731
"[BK].omega",4.07094602703269e-06
"[BK].alpha1",3.22133192883662e-05
"[BK].beta1",0.938887687847834
"[CAH].mu",-0.00103902036167948
"[CAH].ar1",0.999999987945683
"[CAH].omega",0.000140416681170133
"[CAH].alpha1",0.320087865863795
"[CAH].beta1",6.57540120130423e-08
"[DE].mu",-0.00807146426033006
"[DE].ar1",1.00000000994114
"[DE].omega",3.0661978322741e-05
"[DE].alpha1",3.74490690738351e-08
"[DE].beta1",0.784639763851277
"[DLTR].mu",0.0124484719496546
"[DLTR].ar1",0.998605821644483
"[DLTR].omega",2.71965557366486e-07
"[DLTR].alpha1",2.16306070245498e-09
"[DLTR].beta1",0.998999997296256
"[Joint]dcca1",0.00707329589771714
"[Joint]dccb1",0.658588119175973
