"","x"
"[AAPL].mu",0.0091161646240886
"[AAPL].ar1",0.997798159827111
"[AAPL].omega",1.54748062264232e-05
"[AAPL].alpha1",0.152144333881588
"[AAPL].beta1",0.681878819325738
"[ACN].mu",-0.00786930902569065
"[ACN].ar1",0.999999996471099
"[ACN].omega",2.67622336086701e-05
"[ACN].alpha1",0.130322027088357
"[ACN].beta1",0.483645488862884
"[AMG].mu",0.00676215261056167
"[AMG].ar1",1.00000000792986
"[AMG].omega",5.89332195218823e-05
"[AMG].alpha1",0.176159514296921
"[AMG].beta1",0.404206188780282
"[AMT].mu",-0.000862872197635393
"[AMT].ar1",1.00000000934705
"[AMT].omega",2.51184424679269e-05
"[AMT].alpha1",0.108740925395275
"[AMT].beta1",0.625476654303079
"[ANTM].mu",0.00306621123639501
"[ANTM].ar1",1.00000000394241
"[ANTM].omega",0.000122851377758035
"[ANTM].alpha1",0.213443748948478
"[ANTM].beta1",6.19470442549342e-07
"[BBBY].mu",0.0154857353103343
"[BBBY].ar1",1.00000000945121
"[BBBY].omega",1.56221308999743e-05
"[BBBY].alpha1",0.150878215271961
"[BBBY].beta1",0.848121423294332
"[BK].mu",-0.00352051515516584
"[BK].ar1",0.995727335430731
"[BK].omega",4.07094602703269e-06
"[BK].alpha1",3.22133192883662e-05
"[BK].beta1",0.938887687847834
"[CAH].mu",-0.00103902036167948
"[CAH].ar1",0.999999987945683
"[CAH].omega",0.000140416681170133
"[CAH].alpha1",0.320087865863795
"[CAH].beta1",6.57540120130423e-08
"[DE].mu",-0.00807146426033006
"[DE].ar1",1.00000000994114
"[DE].omega",3.0661978322741e-05
"[DE].alpha1",3.74490690738351e-08
"[DE].beta1",0.784639763851277
"[DLTR].mu",0.0124484719496546
"[DLTR].ar1",0.998605821644483
"[DLTR].omega",2.71965557366486e-07
"[DLTR].alpha1",2.16306070245498e-09
"[DLTR].beta1",0.998999997296256
"[ETFC].mu",-0.00902572709093065
"[ETFC].ar1",0.999941651243391
"[ETFC].omega",3.73559125364926e-05
"[ETFC].alpha1",0.138740028797128
"[ETFC].beta1",0.609304993459184
"[ETN].mu",0.000917203920056469
"[ETN].ar1",0.999796673434431
"[ETN].omega",2.01001987606004e-05
"[ETN].alpha1",0.134460415550205
"[ETN].beta1",0.569412945892476
"[FLS].mu",0.000966587681947483
"[FLS].ar1",0.999028503772834
"[FLS].omega",0.000163510191108838
"[FLS].alpha1",0.0425265270817484
"[FLS].beta1",1.14827390662885e-06
"[FMC].mu",-0.014327848588349
"[FMC].ar1",0.99999994467797
"[FMC].omega",2.27046006933106e-05
"[FMC].alpha1",3.18906512162736e-07
"[FMC].beta1",0.85897768409875
"[FOSL].mu",0.0160405914519113
"[FOSL].ar1",1.00000000367487
"[FOSL].omega",0.000133902213353841
"[FOSL].alpha1",0.226531376642909
"[FOSL].beta1",0.772467062808251
"[INTU].mu",-0.00827406674977081
"[INTU].ar1",1.00000000967253
"[INTU].omega",6.90480134368158e-05
"[INTU].alpha1",0.226043406921436
"[INTU].beta1",0.129600951678085
"[NAVI].mu",0.00452573394750948
"[NAVI].ar1",0.996408508722839
"[NAVI].omega",2.89713655507819e-05
"[NAVI].alpha1",0.0242203516903059
"[NAVI].beta1",0.882479850770714
"[NDAQ].mu",-0.0114126468991326
"[NDAQ].ar1",1.00000000999538
"[NDAQ].omega",2.02090337494111e-05
"[NDAQ].alpha1",0.111403308792347
"[NDAQ].beta1",0.642302021242775
"[NLSN].mu",-0.0126517908504386
"[NLSN].ar1",0.999999933245633
"[NLSN].omega",3.07625031950668e-05
"[NLSN].alpha1",0.0257355006026788
"[NLSN].beta1",0.848351493915063
"[NOC].mu",-0.00272568398822878
"[NOC].ar1",1.00000000998739
"[NOC].omega",4.10481094343552e-05
"[NOC].alpha1",0.31693914654522
"[NOC].beta1",0.321432396515868
"[NWSA].mu",-0.0108976808153496
"[NWSA].ar1",1.00000000845955
"[NWSA].omega",0.000150398001743484
"[NWSA].alpha1",0.0680950866277628
"[NWSA].beta1",1.62700799962261e-07
"[PCG].mu",-0.0139071746566575
"[PCG].ar1",0.999999998281718
"[PCG].omega",3.91882817983255e-06
"[PCG].alpha1",0.157779475090998
"[PCG].beta1",0.841220522552716
"[PFE].mu",0.000643424402475777
"[PFE].ar1",0.999999990529096
"[PFE].omega",2.10920702498446e-05
"[PFE].alpha1",0.199339934075601
"[PFE].beta1",0.422200863481978
"[PFG].mu",7.91873143348699e-07
"[PFG].ar1",0.995791712076854
"[PFG].omega",3.46318277461309e-05
"[PFG].alpha1",0.0524679323415746
"[PFG].beta1",0.480822780672529
"[PRGO].mu",-0.00157495841896851
"[PRGO].ar1",1.00000000982853
"[PRGO].omega",0.000348463282386681
"[PRGO].alpha1",0.0914614334662327
"[PRGO].beta1",0.132541797484491
"[R].mu",0.0064703162115721
"[R].ar1",1.00000000931455
"[R].omega",3.35637159850216e-05
"[R].alpha1",1.34483689440806e-07
"[R].beta1",0.833412986716487
"[ROP].mu",0.00101833060202455
"[ROP].ar1",1.00000000648162
"[ROP].omega",8.66274160183833e-06
"[ROP].alpha1",9.49289082140943e-07
