Date,Open,High,Low,Close,Adj Close,Volume
2014-10-06,67.139999,67.279999,66.449997,66.589996,61.995502,3890700
2014-10-07,66.290001,66.419998,65.599998,65.599998,61.073799,6450100
2014-10-08,65.650002,66.750000,65.269997,66.629997,62.032726,7153100
2014-10-09,66.589996,66.589996,65.110001,65.120003,60.626919,22700800
2014-10-10,65.010002,65.570000,64.550003,64.550003,60.096241,11009100
2014-10-13,64.519997,64.669998,63.189999,63.240002,58.876637,21310700
2014-10-14,63.619999,64.190002,63.380001,63.700001,59.304890,11245000
2014-10-15,62.799999,63.490002,61.680000,63.169998,58.811459,15093200
2014-10-16,61.759998,63.660000,61.759998,63.240002,58.876637,12682200
2014-10-17,63.750000,64.480003,63.680000,63.939999,59.528336,8512100
2014-10-20,63.779999,64.889999,63.779999,64.830002,60.356941,6192200
2014-10-21,65.120003,66.160004,65.059998,66.089996,61.529995,5534500
2014-10-22,66.279999,66.440002,65.470001,65.519997,60.999310,7764600
2014-10-23,66.250000,66.860001,66.099998,66.410004,61.827923,5183800
2014-10-24,66.209999,66.400002,65.870003,66.349998,61.772060,4507100
2014-10-27,66.260002,66.629997,66.059998,66.480003,61.893078,3720800
2014-10-28,66.760002,67.220001,66.529999,67.199997,62.563393,7694500
2014-10-29,67.290001,67.430000,66.650002,67.000000,62.377213,4885300
2014-10-30,66.860001,67.639999,65.000000,67.440002,62.786850,5101900
2014-10-31,68.339996,68.410004,67.910004,68.099998,63.401302,4739400
2014-11-03,68.260002,68.260002,67.970001,68.099998,63.401302,15926100
2014-11-04,67.739998,67.849998,66.930000,67.279999,62.637886,4944600
2014-11-05,67.849998,67.870003,67.169998,67.550003,62.889248,10753400
2014-11-06,67.639999,68.160004,67.540001,68.120003,63.419933,11250000
2014-11-07,67.900002,68.080002,67.720001,68.010002,63.317516,3771000
2014-11-10,68.129997,68.150002,67.559998,67.970001,63.280296,2650400
2014-11-11,68.050003,68.269997,67.860001,68.260002,63.550270,3230400
2014-11-12,68.040001,68.690002,68.040001,68.580002,63.848194,5266600
2014-11-13,68.349998,69.190002,68.349998,69.010002,64.248512,10800100
2014-11-14,69.080002,69.309998,68.930000,69.279999,64.499870,9558000
2014-11-17,69.050003,69.410004,69.010002,69.199997,64.425415,4031100
2014-11-18,69.050003,69.500000,69.019997,69.330002,64.546425,4482100
2014-11-19,69.449997,69.669998,69.250000,69.620003,64.816437,5017600
2014-11-20,69.300003,70.099998,69.279999,69.919998,65.095734,5353100
2014-11-21,70.589996,70.660004,69.910004,70.089996,65.254013,7782200
2014-11-24,70.459999,70.769997,70.320000,70.739998,65.859154,3342600
2014-11-25,70.980003,71.180000,70.699997,70.959999,66.063942,4250900
2014-11-26,70.940002,71.010002,70.820000,70.949997,66.054642,2337400
