,number of eigenvalues needed to explain 55% variance,number of eigenvalues needed to explain 95% variance,condition number
2019-10-05,1.0,18.0,348.47608101518597
2019-10-06,2.0,23.0,298.49052138406597
2019-10-07,2.0,27.0,260.0876705087194
2019-10-08,3.0,28.0,227.84074478091046
2019-10-09,3.0,29.0,210.92966378234937
2019-10-10,3.0,31.0,188.2987960902477
2019-10-11,4.0,32.0,182.70454677330585
2019-10-12,3.0,31.0,200.3300264017464
2019-10-13,3.0,31.0,185.74917580977223
2019-10-14,4.0,33.0,165.866952663725
2019-10-15,4.0,34.0,174.34526247683962
2019-10-16,4.0,36.0,170.2718085179414
2019-10-17,4.0,35.0,179.794428683575
2019-10-18,4.0,35.0,168.70663314206595
2019-10-19,4.0,35.0,174.15038718521785
2019-10-20,4.0,35.0,173.52388895609133
2019-10-21,4.0,32.0,177.6993225566348
2019-10-22,3.0,30.0,198.02044975240315
2019-10-23,2.0,24.0,299.68045399397107
2019-10-24,3.0,24.0,260.5316189516996
2019-10-25,3.0,28.0,236.99028327752424
2019-10-26,4.0,29.0,219.92635489059458
2019-10-27,3.0,29.0,204.85354727933122
2019-10-28,4.0,30.0,201.36729715156946
2019-10-29,4.0,32.0,198.7920066551529
2019-10-30,4.0,31.0,212.58672312752864
2019-10-31,3.0,28.0,264.1507370656521
2019-11-01,4.0,28.0,263.0435174984685
2019-11-02,4.0,31.0,228.49432284773496
2019-11-03,4.0,32.0,227.24949275078708
2019-11-04,4.0,33.0,243.78101905593988
2019-11-05,4.0,34.0,227.25729553141798
2019-11-06,1.0,22.0,452.95140652932406
2019-11-07,2.0,22.0,401.2019906985229
2019-11-08,2.0,25.0,369.1626226542275
2019-11-09,2.0,22.0,386.67222722387004
2019-11-10,2.0,21.0,510.76779771578003
2019-11-11,2.0,25.0,468.5222239089569
2019-11-12,2.0,29.0,412.6298052842455
2019-11-13,3.0,29.0,393.8468823571888
2019-11-14,2.0,26.0,398.01579756403777
2019-11-15,3.0,25.0,423.84553861334837
2019-11-16,3.0,28.0,374.82547660206427
2019-11-17,3.0,25.0,339.3189551896462
2019-11-18,2.0,16.0,530.2753013432296
2019-11-19,1.0,1.0,2669.413462168833
2019-11-20,4.0,31.0,259.9118670673558
2019-11-21,4.0,30.0,259.5850679682536
2019-11-22,4.0,32.0,246.09576619235585
2019-11-23,5.0,32.0,242.68024911498537
2019-11-24,4.0,34.0,245.908348297011
